"","taxa","q","Parameter","Eta2_partial","CI","CI_low","CI_high"
"132","GAMM",1,"temperature:temp_spike:HFE",0.684624467647742,0.95,0.680256524318375,1
"133","GAMM",1,"temperature:hydropeaking:HFE",0.566326832334942,0.95,0.560627477663303,1
"134","GAMM",1,"temp_spike:hydropeaking:HFE",0.00126389472395824,0.95,0.000642966873466145,1
"135","GAMM",1,"temperature:temp_spike:hydropeaking:HFE",0.00341213830796838,0.95,0.00232735099849518,1
"136","GAMM",2,"temperature",0.999192094233067,0.95,0.999265486264799,1
"137","GAMM",2,"temp_spike",0.951202363970679,0.95,0.950490951369056,1
"138","GAMM",2,"hydropeaking",0.99634287196482,0.95,0.996674232444585,1
"139","GAMM",2,"HFE",0.999245437037215,0.95,0.999313986611987,1
"140","GAMM",2,"temperature:temp_spike",0.981549507739648,0.95,0.98128019009708,1
"141","GAMM",2,"temperature:hydropeaking",0.896584014793093,0.95,0.895082147857377,1
"142","GAMM",2,"temperature:HFE",0.941670418460791,0.95,0.940820237124863,1
"143","GAMM",2,"temp_spike:hydropeaking",0.0105669166352206,0.95,0.00859486627221993,1
"144","GAMM",2,"temp_spike:HFE",0.414205761274941,0.95,0.407318204853659,1
"145","GAMM",2,"hydropeaking:HFE",0.983070215218796,0.95,0.982823109325844,1
"146","GAMM",2,"temperature:temp_spike:hydropeaking",0.984315833497745,0.95,0.984086866881949,1
"147","GAMM",2,"temperature:temp_spike:HFE",0.503464206216805,0.95,0.497181264739185,1
"148","GAMM",2,"temperature:hydropeaking:HFE",0.830292660751529,0.95,0.827850788200668,1
"149","GAMM",2,"temp_spike:hydropeaking:HFE",0.0512254636974467,0.95,0.0469755181512627,1
"150","GAMM",2,"temperature:temp_spike:hydropeaking:HFE",0.0112058337130819,0.95,0.00917347070549486,1
"151","GAMM",4,"temperature",0.998155955248813,0.95,0.998323314600475,1
"152","GAMM",4,"temp_spike",0.939471572312642,0.95,0.938589746537079,1
"153","GAMM",4,"hydropeaking",0.998400674917789,0.95,0.998545856684546,1
"154","GAMM",4,"HFE",0.999541574276788,0.95,0.9995832319737,1
"155","GAMM",4,"temperature:temp_spike",0.960828694247559,0.95,0.960257237370061,1
"156","GAMM",4,"temperature:hydropeaking",0.931362650429023,0.95,0.930362878411523,1
"157","GAMM",4,"temperature:HFE",0.982625997220755,0.95,0.982372387399766,1
"158","GAMM",4,"temp_spike:hydropeaking",0.627658992476227,0.95,0.622627855542537,1
"159","GAMM",4,"temp_spike:HFE",0.967322440249144,0.95,0.96684569744695,1
"160","GAMM",4,"hydropeaking:HFE",0.987761955269121,0.95,0.987581091619794,1
"161","GAMM",4,"temperature:temp_spike:hydropeaking",0.978650933442141,0.95,0.978339322160275,1
"162","GAMM",4,"temperature:temp_spike:HFE",0.954561829895659,0.95,0.953899116723222,1
"163","GAMM",4,"temperature:hydropeaking:HFE",0.599502957380823,0.95,0.594149455847119,1
"164","GAMM",4,"temp_spike:hydropeaking:HFE",0.151032436228304,0.95,0.144588483861704,1
"165","GAMM",4,"temperature:temp_spike:hydropeaking:HFE",0.0189381950072668,0.95,0.0162893941925411,1
"166","GAMM",8,"temperature",0.990345155045985,0.95,0.99121515765173,1
"167","GAMM",8,"temp_spike",0.973455725667099,0.95,0.973068384730807,1
"168","GAMM",8,"hydropeaking",0.996507039663907,0.95,0.996823572864097,1
"169","GAMM",8,"HFE",0.998936857202644,0.95,0.99903341312787,1
"170","GAMM",8,"temperature:temp_spike",0.906976105991104,0.95,0.905623773520869,1
"171","GAMM",8,"temperature:hydropeaking",0.494144324792064,0.95,0.487783799750202,1
"172","GAMM",8,"temperature:HFE",0.91958782536382,0.95,0.918417556197121,1
"173","GAMM",8,"temp_spike:hydropeaking",0.440971720731764,0.95,0.434243488240461,1
"174","GAMM",8,"temp_spike:HFE",0.913165712361524,0.95,0.911903254208885,1
"175","GAMM",8,"hydropeaking:HFE",0.958406007265201,0.95,0.957799400648882,1
"176","GAMM",8,"temperature:temp_spike:hydropeaking",0.94169957236531,0.95,0.940849816183207,1
"177","GAMM",8,"temperature:temp_spike:HFE",0.892743072498292,0.95,0.891186060321793,1
"178","GAMM",8,"temperature:hydropeaking:HFE",0.692552277774929,0.95,0.688282334336838,1
"179","GAMM",8,"temp_spike:hydropeaking:HFE",0.0291506505233724,0.95,0.0258803266051542,1
"180","GAMM",8,"temperature:temp_spike:hydropeaking:HFE",0.00897407720579984,0.95,0.00716149736068081,1
"181","HYOS",1,"temperature",0.969899038895771,0.95,0.969459775458251,1
"182","HYOS",1,"temp_spike",0.591756987796165,0.95,0.586333744374409,1
"183","HYOS",1,"hydropeaking",0.220922485783834,0.95,0.213879388028813,1
"184","HYOS",1,"HFE",0.589810385193632,0.95,0.584366637127188,1
