SampleID,HCOC,HYCA,HYCO,HYOC,HYOS,HYQU,CaptureDay,Seg,Latitude,Longitude,MeanTemp,RangeTemp,MeanQ,StageChange
L05192,0,0,0,0,0,0,272,C4,36.3016,-112.7866,12.70,6.50,363.76,73.53
L05193,0,0,0,0,0,0,274,C4,36.0862,-113.3246,13.23,7.34,363.76,63.44
L05194,0,0,0,0,0,0,273,C4,36.1703,-113.1261,13.03,6.99,363.76,69.80
L05195,0,0,0,0,0,0,275,C4,35.8333,-113.3270,13.50,7.83,363.76,56.50
L05198,0,0,0,0,0,0,266,C4,36.1403,-111.8162,11.33,4.56,348.61,56.71
L05199,0,0,0,0,0,0,267,C4,36.1010,-112.0838,11.67,5.05,348.61,71.94
L05204,0,0,0,0,0,0,277,C4,36.2582,-112.9201,12.84,6.69,363.76,74.97
L05205,0,0,0,0,0,0,279,C4,35.9689,-113.3174,13.36,7.56,363.76,60.10
L05208,0,0,0,0,0,0,274,C4,36.3912,-112.5209,12.41,6.09,348.61,67.06
L05213,0,0,0,0,0,0,270,C4,36.2428,-112.3579,12.01,5.52,348.61,77.60
L05214,0,0,0,0,1,0,272,C4,36.3688,-112.4667,12.35,6.01,348.61,68.47
L05215,0,0,0,0,2,0,273,C4,36.3688,-112.4667,12.35,6.01,348.61,68.47
L05216,0,0,0,0,0,0,276,C4,36.2582,-112.9208,12.84,6.69,363.76,74.96
L05221,0,0,0,0,0,0,289,C4,36.0973,-113.2214,13.14,7.19,363.76,65.78
L05222,0,0,0,0,0,0,290,C4,35.9895,-113.3409,13.34,7.52,363.76,60.83
L05249,0,0,0,0,0,0,263,C4,36.1083,-112.2252,11.81,5.24,348.61,73.17
L05252,0,0,0,0,0,0,266,C4,36.1505,-111.8152,11.32,4.54,348.61,56.09
L05253,0,0,0,0,0,0,267,C4,36.0497,-111.9040,11.49,4.79,348.61,64.86
L05254,0,0,0,0,0,0,223,C4,36.0979,-112.1812,11.77,5.18,348.61,72.55
L05255,0,0,0,0,0,0,268,C4,36.1008,-112.0828,11.67,5.05,348.61,71.92
L05256,0,0,0,0,1,0,225,C4,36.3416,-112.6817,12.56,6.31,348.61,69.73
L05257,0,0,0,0,1,0,230,C4,36.0931,-113.3226,13.23,7.34,363.76,63.61
L05258,0,0,0,0,0,0,271,C4,36.2385,-112.4671,12.15,5.73,348.61,76.19
L05260,0,0,0,0,0,0,229,C4,36.1703,-113.1261,13.03,6.99,363.76,69.80
L05261,0,0,0,0,0,0,231,C4,36.0931,-113.3226,13.23,7.34,363.76,63.61
L05262,0,0,0,0,0,0,224,C4,36.2376,-112.3453,11.99,5.50,348.61,77.28
L05263,0,0,0,0,0,0,225,C4,36.2402,-112.4748,12.17,5.75,348.61,75.92
L05264,0,0,0,0,3,0,226,C4,36.3924,-112.5237,12.41,6.09,348.61,67.00
L05265,0,0,0,0,0,0,228,C4,36.2582,-112.9208,12.84,6.69,363.76,74.96
L05268,0,0,0,0,0,0,221,C4,36.0875,-111.8640,11.43,4.70,348.61,61.77
L05269,0,0,0,0,0,0,222,C4,36.0812,-112.0343,11.63,4.98,348.61,70.39
L05317,0,0,0,0,0,0,230,C4,36.1612,-113.1750,13.07,7.06,363.76,68.06
L05319,0,0,0,0,0,0,223,C4,36.1008,-112.0828,11.67,5.05,348.61,71.92
L05320,0,0,0,0,2,0,227,C4,36.3484,-112.4552,12.34,5.99,348.61,69.26
L05321,0,0,0,0,0,0,229,C4,36.3017,-112.7864,12.70,6.50,363.76,73.52
L05322,0,0,0,0,0,0,224,C4,36.1083,-112.2252,11.81,5.24,348.61,73.17
L05323,0,0,0,0,0,0,225,C4,36.2383,-112.4666,12.15,5.73,348.61,76.20
L05324,0,0,0,0,0,0,228,C4,36.3744,-112.6500,12.52,6.25,348.61,68.14
L05328,0,0,0,0,0,0,231,C4,35.8300,-113.3258,13.50,7.83,363.76,56.42
L05333,0,0,0,0,0,0,221,C4,36.3640,-112.4615,12.35,6.01,348.61,68.69
L05346,0,0,0,0,0,0,230,C4,36.1010,-112.0838,11.67,5.05,348.61,71.94
L05347,0,0,0,0,0,0,226,C4,36.1010,-112.0838,11.67,5.05,348.61,71.94
L05348,0,0,0,0,0,0,232,C4,36.3948,-112.6067,12.48,6.19,348.61,66.97
L05349,0,0,0,0,1,0,233,C4,36.3948,-112.6067,12.48,6.19,348.61,66.97
L05350,0,0,0,0,0,0,234,C4,36.3100,-112.7618,12.68,6.46,363.76,73.06
L05351,0,0,0,0,0,0,235,C4,36.2801,-112.8735,12.78,6.62,363.76,75.17
L05352,0,0,0,0,0,0,236,C4,36.2801,-112.8735,12.78,6.62,363.76,75.17
L05353,0,0,0,0,0,0,237,C4,36.2801,-112.8735,12.78,6.62,363.76,75.17
L05354,0,0,0,0,0,0,238,C4,35.7676,-113.3721,13.57,7.98,363.76,54.86
L05355,0,0,0,0,0,0,285,C4,35.8023,-113.5598,13.72,8.29,363.76,54.86
L05356,0,0,0,0,1,0,272,C4,35.8844,-113.3095,13.45,7.73,363.76,57.76
L05357,0,0,0,0,0,0,268,C4,36.1711,-111.8126,11.30,4.52,348.61,54.59
L05358,0,0,0,0,0,0,266,C4,36.1711,-111.8126,11.30,4.52,348.61,54.59
L05359,0,0,0,0,0,0,265,C4,36.1711,-111.8126,11.30,4.52,348.61,54.59
L05364,0,0,0,0,0,0,234,C4,36.2271,-113.0377,12.93,6.83,363.76,73.08
L05365,0,0,0,0,0,0,233,C4,36.3018,-112.7863,12.70,6.50,363.76,73.52
L05369,0,0,0,0,0,0,229,C4,36.1085,-112.2254,11.81,5.24,348.61,73.17
L05370,0,0,0,0,0,0,228,C4,36.0491,-111.9041,11.49,4.79,348.61,64.89
L05375,0,0,0,0,0,0,222,C4,35.7764,-113.5261,13.70,8.24,363.76,54.86
L05376,0,0,0,0,0,0,223,C4,35.8549,-113.6631,13.85,8.56,363.76,54.86
L05380,0,0,0,0,0,0,250,C4,35.8236,-113.6465,13.82,8.49,363.76,54.86
L05385,0,0,0,0,1,0,228,C4,36.1027,-111.8303,11.38,4.63,348.61,58.60
L05386,0,0,0,0,0,0,229,C4,36.1059,-112.1524,11.74,5.14,348.61,72.47
L05392,0,0,0,0,0,0,23,C4,36.1505,-111.8152,11.32,4.54,348.61,56.09
L05394,0,0,0,0,2,0,95,C4,36.0905,-111.8516,11.41,4.67,348.61,60.88
L05395,0,0,0,0,0,0,96,C4,36.0556,-111.9972,11.58,4.92,348.61,68.65
L05396,0,0,0,0,0,0,293,C4,36.3416,-112.6817,12.56,6.31,348.61,69.73
L05397,0,0,0,0,0,0,294,C4,36.2366,-112.9597,12.88,6.75,363.76,74.60
L05400,0,0,0,0,0,0,296,C4,36.0513,-113.3499,13.27,7.41,363.76,62.42
L05401,0,0,0,0,0,0,297,C4,35.8045,-113.3335,13.52,7.88,363.76,55.77
L05418,0,0,0,0,0,0,296,C4,36.1509,-111.8152,11.32,4.54,348.61,56.06
L05419,0,0,0,0,0,0,300,C4,36.2328,-112.4601,12.15,5.73,348.61,76.46
L05421,0,0,0,0,0,0,309,C4,35.9689,-113.3174,13.36,7.56,363.76,60.10
L05423,0,0,0,0,0,0,310,C4,35.8336,-113.3272,13.50,7.83,363.76,56.51
L05428,0,0,0,0,0,0,305,C4,36.3016,-112.7866,12.70,6.50,363.76,73.53
L05429,0,0,0,0,0,0,304,C4,36.3416,-112.6813,12.56,6.31,348.61,69.72
L05435,0,0,0,0,0,0,247,C4,36.3751,-112.6500,12.52,6.25,348.61,68.12
L05436,0,0,0,0,0,0,247,C4,36.2577,-112.9232,12.84,6.69,363.76,74.95
L05437,0,0,0,0,1,0,248,C4,36.2577,-112.9232,12.84,6.69,363.76,74.95
L05438,0,0,0,0,2,0,246,C4,36.3744,-112.6500,12.52,6.25,348.61,68.14
L05439,0,0,0,0,1,0,248,C4,36.0868,-113.3242,13.23,7.34,363.76,63.46
L05441,0,0,0,0,0,0,249,C4,35.7742,-113.3612,13.56,7.96,363.76,54.91
L05445,0,0,0,0,0,0,267,C4,36.0995,-112.2084,11.78,5.20,348.61,72.81
L05446,0,0,0,0,0,0,268,C4,36.2375,-112.3448,11.99,5.50,348.61,77.27
L05447,0,0,0,0,0,0,271,C4,36.3461,-112.4549,12.33,5.97,348.61,69.34
L05448,0,0,0,0,0,0,276,C4,36.1612,-113.1753,13.07,7.06,363.76,68.05
L05449,0,0,0,0,0,0,277,C4,35.9889,-113.3408,13.34,7.52,363.76,60.81
L05450,0,0,0,0,0,0,279,C4,35.8329,-113.3268,13.50,7.83,363.76,56.50
L05459,0,0,0,0,0,0,252,C4,36.2668,-112.5292,12.22,5.83,348.61,72.76
L05460,0,0,0,0,0,0,253,C4,36.3485,-112.4553,12.34,5.99,348.61,69.25
L05461,0,0,0,0,0,0,254,C4,36.3688,-112.4667,12.35,6.01,348.61,68.47
L05462,0,0,0,0,0,0,255,C4,36.3416,-112.6817,12.56,6.31,348.61,69.73
L05463,0,0,0,0,0,0,256,C4,36.2849,-112.7928,12.72,6.52,363.76,73.96
L05468,0,0,0,0,0,0,274,C4,36.1078,-111.8265,11.36,4.61,348.61,58.19
L05469,0,0,0,0,0,0,275,C4,36.0551,-111.9963,11.58,4.92,348.61,68.61
L05470,0,0,0,0,0,0,276,C4,36.0980,-112.1815,11.77,5.18,348.61,72.56
L05471,0,0,0,0,0,0,278,C4,36.2828,-112.5042,12.25,5.87,348.61,71.53
L05473,0,0,0,0,0,0,248,C4,36.1515,-111.8152,11.32,4.54,348.61,56.02
L05478,0,0,0,0,0,0,256,C4,36.1192,-113.2014,13.12,7.14,363.76,66.42
L05479,0,0,0,0,0,0,255,C4,36.2582,-112.9202,12.84,6.69,363.76,74.97
L05481,0,0,0,0,1,0,253,C4,36.3917,-112.5225,12.41,6.09,348.61,67.03
L05482,0,0,0,0,0,0,252,C4,36.3475,-112.4552,12.33,5.97,348.61,69.29
L05483,0,0,0,0,0,0,251,C4,36.2236,-112.4556,12.14,5.71,348.61,76.73
L05484,0,0,0,0,0,0,250,C4,36.1085,-112.2254,11.81,5.24,348.61,73.17
L05485,0,0,0,0,0,0,249,C4,36.1010,-112.0836,11.67,5.05,348.61,71.94
L05492,0,0,0,0,0,0,291,C4,36.3878,-112.6419,12.51,6.23,348.61,67.67
L05497,0,0,0,0,0,0,248,C4,36.0665,-111.8894,11.47,4.76,348.61,63.99
L05498,0,0,0,0,0,0,249,C4,36.1059,-112.1535,11.74,5.14,348.61,72.47
L05499,0,0,0,0,0,0,250,C4,36.2021,-112.4553,12.12,5.69,348.61,77.06
L05500,0,0,0,0,0,0,251,C4,36.2021,-112.4553,12.12,5.69,348.61,77.06
L05501,0,0,0,0,1,0,253,C4,36.3011,-112.4948,12.27,5.89,348.61,70.97
L05502,0,0,0,0,0,0,254,C4,36.3028,-112.7798,12.69,6.48,363.76,73.40
L05503,0,0,0,0,0,0,256,C4,35.9018,-113.3237,13.43,7.68,363.76,58.30
L05504,0,0,0,0,1,0,257,C4,35.9018,-113.3237,13.43,7.68,363.76,58.30
L05505,0,0,0,0,0,0,258,C4,35.8484,-113.6139,13.78,8.41,363.76,54.86
L05506,0,0,0,0,0,0,259,C4,35.8484,-113.6139,13.78,8.41,363.76,54.86
L05509,0,0,0,0,0,0,122,C4,36.0954,-113.9164,14.01,8.88,363.76,54.86
L05520,0,0,0,0,0,0,262,C4,36.1394,-111.8164,11.33,4.56,348.61,56.76
L05521,0,0,0,0,0,0,263,C4,36.0553,-111.9968,11.58,4.92,348.61,68.63
L05522,0,0,0,0,0,0,264,C4,36.1342,-112.2423,11.84,5.29,348.61,74.02
L05523,0,0,0,0,0,0,265,C4,36.2369,-112.3482,11.99,5.50,348.61,77.34
L05525,0,0,0,0,0,0,267,C4,36.3476,-112.4552,12.34,5.99,348.61,69.28
