"StageGroup","Abundance","Biomass","Parameter","SensitivityIncrement","TemperatureFactor","Increment"
"S3_BAET",2.27427878539121,0.293057101352205,"TempSurvival_HYOS",-0.008,1,-0.008
"S1_NZMS",18747.0873950498,1673.36953194694,"TempSurvival_HYOS",-0.008,1,-0.008
"S2_NZMS",7493.9269015146,3375.89537646075,"TempSurvival_HYOS",-0.008,1,-0.008
"S3_NZMS",4282.03354855447,3784.95371497757,"TempSurvival_HYOS",-0.008,1,-0.008
"S1_CHIR",51.6634847057622,8.50386840559744,"TempSurvival_HYOS",-0.008,1,-0.008
"S2_CHIR",9.72548624440703,9.20140318502736,"TempSurvival_HYOS",-0.008,1,-0.008
"S3_CHIR",4.47521850558284,3.9141249469265,"TempSurvival_HYOS",-0.008,1,-0.008
"S1_GAMM",36.5552296184629,106.403605752117,"TempSurvival_HYOS",-0.008,1,-0.008
"S2_GAMM",18.2980819296544,192.020450947839,"TempSurvival_HYOS",-0.008,1,-0.008
"S3_GAMM",5.35395329939143,109.683374606464,"TempSurvival_HYOS",-0.008,1,-0.008
"S1_HYOS",49.1806570225152,397.876851827939,"TempSurvival_BAET",-0.008,1,-0.008
"S2_HYOS",13.607315331611,198.668864137539,"TempSurvival_BAET",-0.008,1,-0.008
"S3_HYOS",0.771687710408277,10.6738917852272,"TempSurvival_BAET",-0.008,1,-0.008
"S1_BAET",54.3602751156296,1.21370618617894,"TempSurvival_BAET",-0.008,1,-0.008
"S2_BAET",9.39896608514089,1.48568400147391,"TempSurvival_BAET",-0.008,1,-0.008
"S3_BAET",2.28653116570417,0.294542337374571,"TempSurvival_BAET",-0.008,1,-0.008
"S1_NZMS",18751.6596099075,1673.77764894533,"TempSurvival_BAET",-0.008,1,-0.008
"S2_NZMS",7495.13256650916,3376.43850944486,"TempSurvival_BAET",-0.008,1,-0.008
"S3_NZMS",4282.83036457722,3785.65803261807,"TempSurvival_BAET",-0.008,1,-0.008
