"StageGroup","Abundance","Parameter","SensitivityIncrement"
"S2_GAMM",19.4081393430475,"G1_NZMS",-0.008
"S3_GAMM",5.73851828750222,"G1_NZMS",-0.008
"S1_HYOS",51.0487875050482,"G1_GAMM",-0.008
"S2_HYOS",14.4611833872912,"G1_GAMM",-0.008
"S3_HYOS",0.653053256924939,"G1_GAMM",-0.008
"S1_BAET",65.5796219267067,"G1_GAMM",-0.008
"S2_BAET",10.4442798851406,"G1_GAMM",-0.008
"S3_BAET",1.80962062052711,"G1_GAMM",-0.008
"S1_NZMS",18696.6465280928,"G1_GAMM",-0.008
"S2_NZMS",7488.16846348705,"G1_GAMM",-0.008
"S3_NZMS",4279.93382552369,"G1_GAMM",-0.008
"S1_CHIR",50.8450298711919,"G1_GAMM",-0.008
"S2_CHIR",9.76837534124771,"G1_GAMM",-0.008
"S3_CHIR",4.49090509145061,"G1_GAMM",-0.008
"S1_GAMM",35.7735767184785,"G1_GAMM",-0.008
"S2_GAMM",17.3097074766224,"G1_GAMM",-0.008
"S3_GAMM",5.17570398074582,"G1_GAMM",-0.008
"S1_HYOS",49.028989373867,"G1_CHIR",-0.008
"S2_HYOS",13.5118685410447,"G1_CHIR",-0.008
"S3_HYOS",0.792222182302669,"G1_CHIR",-0.008
"S1_BAET",55.0005506565583,"G1_CHIR",-0.008
"S2_BAET",9.44904679619873,"G1_CHIR",-0.008
"S3_BAET",2.27203073128008,"G1_CHIR",-0.008
"S1_NZMS",18772.6651241916,"G1_CHIR",-0.008
"S2_NZMS",7501.25916604398,"G1_CHIR",-0.008
"S3_NZMS",4289.92021557049,"G1_CHIR",-0.008
"S1_CHIR",51.6783674186693,"G1_CHIR",-0.008
"S2_CHIR",9.67392553820054,"G1_CHIR",-0.008
"S3_CHIR",4.47238987717951,"G1_CHIR",-0.008
"S1_GAMM",36.5613155384339,"G1_CHIR",-0.008
"S2_GAMM",18.3123078241794,"G1_CHIR",-0.008
"S3_GAMM",5.35793990474193,"G1_CHIR",-0.008
"S1_HYOS",52.2537000974224,"G2_HYOS",-0.008
"S2_HYOS",14.8995381819047,"G2_HYOS",-0.008
"S3_HYOS",0.578497085761865,"G2_HYOS",-0.008
"S1_BAET",57.4913422215372,"G2_HYOS",-0.008
"S2_BAET",9.5378795576673,"G2_HYOS",-0.008
"S3_BAET",1.82729575630973,"G2_HYOS",-0.008
"S1_NZMS",18630.9940057512,"G2_HYOS",-0.008
"S2_NZMS",7463.35793269967,"G2_HYOS",-0.008
"S3_NZMS",4259.98523687876,"G2_HYOS",-0.008
"S1_CHIR",50.7629845092502,"G2_HYOS",-0.008
"S2_CHIR",9.78952058371044,"G2_HYOS",-0.008
"S3_CHIR",4.53152919461656,"G2_HYOS",-0.008
"S1_GAMM",36.3906133758006,"G2_HYOS",-0.008
"S2_GAMM",17.7955378842336,"G2_HYOS",-0.008
"S3_GAMM",5.23656698339883,"G2_HYOS",-0.008
"S1_HYOS",48.9394581571067,"G2_BAET",-0.008
"S2_HYOS",13.4959285666241,"G2_BAET",-0.008
"S3_HYOS",0.792118570062195,"G2_BAET",-0.008
"S1_BAET",67.7636411559914,"G2_BAET",-0.008
"S2_BAET",10.6409123855116,"G2_BAET",-0.008
"S3_BAET",1.67053316895195,"G2_BAET",-0.008
"S1_NZMS",18773.1354854384,"G2_BAET",-0.008
"S2_NZMS",7501.54004589369,"G2_BAET",-0.008
"S3_NZMS",4290.13320821203,"G2_BAET",-0.008
"S1_CHIR",51.6723966785447,"G2_BAET",-0.008
"S2_CHIR",9.72526204538153,"G2_BAET",-0.008
"S3_CHIR",4.47229708280265,"G2_BAET",-0.008
"S1_GAMM",36.5511634079074,"G2_BAET",-0.008
"S2_GAMM",18.3100561253396,"G2_BAET",-0.008
"S3_GAMM",5.35776729826309,"G2_BAET",-0.008
"S1_HYOS",51.7237983418633,"G2_NZMS",-0.008
"S2_HYOS",15.0691804460151,"G2_NZMS",-0.008
"S3_HYOS",0.611111713430434,"G2_NZMS",-0.008
"S1_BAET",56.3416711301335,"G2_NZMS",-0.008
"S2_BAET",9.5211397016637,"G2_NZMS",-0.008
"S3_BAET",2.0095338809986,"G2_NZMS",-0.008
"S1_NZMS",19426.4459151009,"G2_NZMS",-0.008
"S2_NZMS",7784.34201688872,"G2_NZMS",-0.008
"S3_NZMS",4013.12199597913,"G2_NZMS",-0.008
